page,text,left,top,width,height,line,conf
1,informed in,0.116863,0.861818,0.096863,0.014848,42,98.0
1,TERN ATION,0.211373,0.066667,0.164314,0.009091,43,92.0
1,globally. Thrive,0.236471,0.085152,0.121961,0.015455,44,98.0
1,Affiliations,0.229804,0.153939,0.131373,0.024242,45,98.0
1,Relationship,0.212157,0.185758,0.103137,0.015455,46,97.0
1,relationship is,0.217647,0.209394,0.115294,0.015152,47,98.0
1,highest,0.264314,0.22697,0.064314,0.013333,48,99.0
1,or territory,0.249412,0.242424,0.121176,0.013939,49,98.0
1,"cities""",0.272941,0.258485,0.048627,0.013636,50,99.0
1,indicated,0.258824,0.274848,0.076863,0.013939,51,99.0
1,International shall,0.216471,0.298485,0.150196,0.014545,52,99.0
1,(i.e. who are,0.232549,0.314545,0.103137,0.014545,53,99.0
1,Sister Cities,0.265098,0.330606,0.101569,0.014848,54,99.0
1,those relationships,0.223529,0.347576,0.157647,0.013636,55,98.0
1,or Friendship,0.255294,0.393939,0.113725,0.015758,56,97.0
1,"formal ""Sister",0.254118,0.410909,0.121961,0.014545,57,99.0
1,as such in the,0.225098,0.427273,0.103922,0.013333,58,99.0
1,Friendship City,0.203137,0.443333,0.125882,0.014242,59,98.0
1,Cities International,0.223922,0.467576,0.151373,0.013333,60,99.0
1,Cities International,0.220392,0.490606,0.156863,0.014242,61,97.0
1,an international,0.238431,0.50697,0.128235,0.014242,62,98.0
1,that international,0.239216,0.523333,0.144314,0.013939,63,98.0
1,agreement,0.270196,0.539091,0.092549,0.015455,64,99.0
1,If a,0.288627,0.555758,0.029804,0.013939,65,98.0
1,within a,0.261569,0.571515,0.063529,0.013636,66,99.0
1,the partnership,0.253333,0.587879,0.130196,0.014545,67,99.0
1,symbol in the,0.219608,0.604848,0.110196,0.013333,68,99.0
1,cooperative,0.203137,0.627879,0.102745,0.014545,69,99.0
1,Executive/Governor,0.169804,0.644848,0.179216,0.013333,70,99.0
1,Although,0.275686,0.67697,0.077647,0.013939,71,99.0
1,may be given,0.241569,0.693333,0.108235,0.013333,72,98.0
1,Mayor/County,0.221961,0.709697,0.12,0.012424,73,99.0
1,Sister Cities,0.241569,0.725152,0.102745,0.013939,74,99.0
1,it is up to the,0.252941,0.741818,0.100392,0.013939,75,98.0
1,International will,0.216078,0.75697,0.139608,0.015152,76,98.0
1,cooperative agreement.,0.198431,0.774545,0.189804,0.013333,77,99.0
1,relationship into,0.203137,0.796667,0.133725,0.015152,78,98.0
1,write a letter,0.251765,0.813939,0.104706,0.014242,79,98.0
1,"cities, but",0.230196,0.83,0.080392,0.013333,80,98.0
1,able to sustain,0.236471,0.845758,0.12,0.013636,81,98.0
1,writing by the,0.213725,0.861818,0.112157,0.014848,82,98.0
1,AL,0.375686,0.066667,0.032941,0.009091,83,92.0
1,locally.,0.358431,0.085152,0.051765,0.015455,84,98.0
1,formed when,0.332941,0.209394,0.110196,0.015152,85,98.0
1,appointed,0.328627,0.22697,0.083922,0.013333,86,99.0
1,sign a formal,0.370588,0.242424,0.101569,0.013939,87,98.0
1,relationship. Sister,0.321569,0.258485,0.17098,0.013636,88,99.0
1,by one or both,0.335686,0.274848,0.122353,0.013939,89,99.0
1,formally,0.366667,0.298485,0.071765,0.014545,90,99.0
1,current on,0.335686,0.314545,0.09098,0.014545,91,99.0
1,International,0.366667,0.330606,0.108627,0.014848,92,99.0
1,formed,0.381176,0.347576,0.065098,0.013636,93,98.0
1,Cities,0.36902,0.393939,0.047843,0.015758,94,97.0
1,"City""",0.376078,0.410909,0.043922,0.014545,95,99.0
1,formal documents,0.32902,0.427273,0.146667,0.013333,96,99.0
1,relationships by,0.32902,0.443333,0.133725,0.014242,97,98.0
1,Board of,0.375294,0.467576,0.07451,0.013333,98,99.0
1,will recognize,0.377255,0.490606,0.111765,0.014242,99,97.0
1,"community,",0.366667,0.50697,0.098824,0.014242,100,98.0
1,community,0.383529,0.523333,0.089804,0.013939,101,98.0
1,among all,0.362745,0.539091,0.079216,0.015455,102,99.0
1,cooperative,0.318431,0.555758,0.114902,0.013939,103,98.0
1,reasonable amount,0.325098,0.571515,0.157255,0.013636,104,99.0
1,as a,0.383529,0.587879,0.038039,0.014545,105,99.0
1,membership,0.329804,0.604848,0.105098,0.013333,106,99.0
1,agreement must be,0.305882,0.627879,0.158824,0.014545,107,99.0
1,of the requesting,0.34902,0.644848,0.148627,0.013333,108,99.0
1,Executive/Governor,0.286667,0.660909,0.164314,0.013939,109,97.0
1,the Mayor/County,0.353333,0.67697,0.153333,0.013939,110,99.0
1,"input by, the",0.349804,0.693333,0.100392,0.013333,111,98.0
1,Executive/Governorto,0.341961,0.709697,0.185098,0.012424,112,99.0
1,International,0.344314,0.725152,0.131765,0.013939,113,99.0
1,requesting,0.353333,0.741818,0.093333,0.013939,114,98.0
1,"not, in any",0.355686,0.75697,0.085098,0.015152,115,98.0
1,"Emeritus status,",0.336863,0.796667,0.135294,0.015152,116,98.0
1,to the mayor,0.356471,0.813939,0.106275,0.014242,117,98.0
1,understand that,0.310588,0.83,0.133333,0.013333,118,98.0
1,an active,0.356471,0.845758,0.076863,0.013636,119,98.0
1,mayor of the U.S.,0.325882,0.861818,0.141176,0.014848,120,98.0
1,the mayor or,0.443137,0.209394,0.107843,0.015152,121,98.0
1,official) from a,0.412549,0.22697,0.138824,0.013333,122,99.0
1,agreement,0.472157,0.242424,0.084706,0.013939,123,98.0
1,city agreements,0.492549,0.258485,0.110588,0.013636,124,99.0
1,of the respective,0.458039,0.274848,0.162745,0.013939,125,99.0
1,recognize only,0.438431,0.298485,0.120784,0.014545,126,99.0
1,membership dues),0.426667,0.314545,0.154118,0.014545,127,99.0
1,shall not,0.475294,0.330606,0.071373,0.014848,128,99.0
1,by non-members.,0.446275,0.347576,0.138431,0.013636,129,98.0
1,relationship is often,0.416863,0.393939,0.16549,0.015758,130,97.0
1,agreement. Typically,0.42,0.410909,0.167059,0.014545,131,99.0
1,that are,0.475686,0.427273,0.067843,0.013333,132,99.0
1,members in,0.462745,0.443333,0.096863,0.014242,133,98.0
1,Directors:,0.449804,0.467576,0.082353,0.013333,134,99.0
1,a new sister,0.48902,0.490606,0.101176,0.014242,135,97.0
1,even though,0.46549,0.50697,0.104706,0.014242,136,98.0
1,and a,0.473333,0.523333,0.049412,0.013939,137,98.0
1,involved communities,0.441961,0.539091,0.174902,0.015455,138,99.0
1,"agreement is denied,",0.433333,0.555758,0.147843,0.013939,139,98.0
1,"of time,",0.482353,0.571515,0.063529,0.013636,140,99.0
1,friendship city,0.421569,0.587879,0.142745,0.014545,141,99.0
1,directories.,0.434902,0.604848,0.093725,0.013333,142,99.0
1,sent by the,0.464706,0.627879,0.094902,0.014545,143,99.0
1,"community,",0.497647,0.644848,0.081176,0.013333,144,99.0
1,of each of the,0.45098,0.660909,0.117647,0.013939,145,97.0
1,sister cities,0.450196,0.693333,0.1,0.013333,146,98.0
1,sign,0.527059,0.709697,0.037647,0.012424,147,99.0
1,will help with,0.476078,0.725152,0.081961,0.013939,148,99.0
1,community to,0.446667,0.741818,0.109804,0.013939,149,98.0
1,"way, force a",0.440784,0.75697,0.106275,0.015152,150,98.0
1,the mayor,0.472157,0.796667,0.086667,0.015152,151,98.0
1,of the foreign,0.462745,0.813939,0.120784,0.014242,152,98.0
1,the relationship,0.443922,0.83,0.129804,0.013333,153,98.0
1,relationship. Sister,0.433333,0.845758,0.155294,0.013636,154,98.0
1,city of the,0.467059,0.861818,0.087451,0.014848,155,98.0
1,highest elected,0.55098,0.209394,0.126667,0.015152,156,98.0
1,U.S. community,0.551373,0.22697,0.122745,0.013333,157,99.0
1,on behalf of,0.556863,0.242424,0.116078,0.013939,158,98.0
1,shall be,0.603137,0.258485,0.063529,0.013636,159,99.0
1,communities.,0.620784,0.274848,0.084314,0.013939,160,99.0
1,those relationships,0.559216,0.298485,0.15451,0.014545,161,99.0
1,in its,0.580784,0.314545,0.042353,0.014545,162,99.0
1,assert as invalid,0.546667,0.330606,0.138039,0.014848,163,99.0
1,formed by,0.582353,0.393939,0.088627,0.015758,164,97.0
1,Friendship,0.587059,0.410909,0.089412,0.014545,165,99.0
1,signed. Sister,0.543529,0.427273,0.11098,0.013333,166,99.0
1,its Membership,0.559608,0.443333,0.126275,0.014242,167,98.0
1,cities,0.590196,0.490606,0.046275,0.014242,168,97.0
1,another,0.570196,0.50697,0.067451,0.014242,169,98.0
1,different U.S.,0.522745,0.523333,0.116471,0.013939,170,98.0
1,is filed,0.616863,0.539091,0.060784,0.015455,171,99.0
1,or no response,0.581176,0.555758,0.127059,0.013939,172,98.0
1,Sister Cities,0.545882,0.571515,0.102353,0.013636,173,99.0
1,and it will be,0.564314,0.587879,0.079608,0.014545,174,99.0
1,Mayor/County,0.559608,0.627879,0.116863,0.014545,175,99.0
1,and must be,0.578824,0.644848,0.100784,0.013333,176,99.0
1,existing,0.568627,0.660909,0.064314,0.013939,177,97.0
1,Executive/Governor,0.506667,0.67697,0.165882,0.013939,178,99.0
1,"program, it is",0.550196,0.693333,0.11098,0.013333,179,98.0
1,the cooperative,0.564706,0.709697,0.130196,0.012424,180,99.0
1,the cooperative,0.558039,0.725152,0.131765,0.013939,181,99.0
1,get the agreement,0.556471,0.741818,0.152941,0.013939,182,98.0
1,community to,0.547059,0.75697,0.108627,0.015152,183,98.0
1,or highest,0.558824,0.796667,0.086275,0.015152,184,98.0
1,city indicating,0.583529,0.813939,0.114118,0.014242,185,98.0
1,will remain,0.573725,0.83,0.088235,0.013333,186,98.0
1,Cities,0.588627,0.845758,0.048235,0.013636,187,98.0
1,situation. Sister,0.55451,0.861818,0.128235,0.014848,188,98.0
1,"official (or,",0.677647,0.209394,0.103137,0.015152,189,98.0
1,and a community,0.674118,0.22697,0.139608,0.013333,190,99.0
1,their communities,0.672941,0.242424,0.114902,0.013939,191,98.0
1,considered,0.666667,0.258485,0.092549,0.013636,192,99.0
1,by,0.713725,0.298485,0.023529,0.014545,193,99.0
1,Membership Directory,0.623137,0.314545,0.183529,0.014545,194,99.0
1,or otherwise,0.684706,0.330606,0.135294,0.014848,195,99.0
1,cities as a,0.67098,0.393939,0.085098,0.015758,196,97.0
1,City agreements,0.676471,0.410909,0.133725,0.014545,197,99.0
1,Cities International,0.65451,0.427273,0.155686,0.013333,198,99.0
1,Directory,0.685882,0.443333,0.083137,0.014242,199,98.0
1,affiliation between,0.636471,0.490606,0.151373,0.014242,200,97.0
1,affiliation may exist,0.637647,0.50697,0.158824,0.014242,201,98.0
1,"community, only",0.639216,0.523333,0.131373,0.013939,202,98.0
1,with Sister,0.677647,0.539091,0.091373,0.015455,203,99.0
1,to the,0.708235,0.555758,0.048627,0.013939,204,98.0
1,International will,0.648235,0.571515,0.13451,0.013636,205,99.0
1,delineated as such,0.643922,0.587879,0.147059,0.014545,206,99.0
1,sent to the,0.679608,0.644848,0.085098,0.013333,207,99.0
1,partnership,0.632941,0.660909,0.092941,0.013939,208,97.0
1,may request,0.672549,0.67697,0.106275,0.013939,209,99.0
1,up to the discretion,0.661176,0.693333,0.154902,0.013333,210,98.0
1,agreement.,0.694902,0.709697,0.088235,0.012424,211,99.0
1,agreement,0.689804,0.725152,0.085882,0.013939,212,99.0
1,signed.,0.709412,0.741818,0.060784,0.013939,213,98.0
1,"""share"" and sign",0.655686,0.75697,0.138039,0.015152,214,98.0
1,elected official,0.645098,0.796667,0.128235,0.015152,215,98.0
1,that they,0.697647,0.813939,0.075294,0.014242,216,98.0
1,inactive until,0.661961,0.83,0.104706,0.013333,217,98.0
1,International should,0.636863,0.845758,0.168235,0.013636,218,98.0
1,Cities,0.682745,0.861818,0.048235,0.014848,219,98.0
1,if elections,0.780784,0.209394,0.076471,0.015152,220,98.0
1,in,0.813725,0.22697,0.013725,0.013333,221,99.0
1,endorsing,0.787843,0.242424,0.083529,0.013939,222,98.0
1,active/valid,0.759216,0.258485,0.091373,0.013636,223,99.0
1,cities/members,0.737255,0.298485,0.127451,0.014545,224,99.0
1,or on its,0.806667,0.314545,0.067059,0.014545,225,99.0
1,impugn the,0.82,0.330606,0.057647,0.014848,226,99.0
1,"""stepping",0.756078,0.393939,0.076471,0.015758,227,97.0
1,are,0.810196,0.410909,0.028235,0.014545,228,99.0
1,shall,0.810196,0.427273,0.035686,0.013333,229,99.0
1,and website.,0.76902,0.443333,0.096863,0.014242,230,98.0
1,a,0.787843,0.490606,0.009412,0.014242,231,97.0
1,if a,0.770588,0.523333,0.028627,0.013939,232,98.0
1,Cities,0.76902,0.539091,0.043922,0.015455,233,99.0
1,request,0.756863,0.555758,0.061961,0.013939,234,98.0
1,input,0.778824,0.67697,0.038824,0.013939,235,99.0
1,Sister,0.770196,0.741818,0.049804,0.013939,236,98.0
1,of the U.S.,0.773333,0.796667,0.081176,0.015152,237,98.0
1,wish to,0.772941,0.813939,0.054902,0.014242,238,98.0
1,such time as,0.766667,0.83,0.099608,0.013333,239,98.0
1,be,0.805098,0.845758,0.018824,0.013636,240,98.0
1,International will,0.73098,0.861818,0.134118,0.014848,241,98.0
1,Toolkit,0.829412,0.069394,0.132549,0.031515,242,99.0
1,a,0.871373,0.242424,0.00902,0.013939,243,98.0
1,in,0.864706,0.298485,0.012941,0.014545,244,99.0
2,SisterCities Partnership Agreement,0.167843,0.025455,0.793725,0.03697,1,99.0
2,IN TE,0.17098,0.066667,0.072157,0.009091,2,87.0
2,Connect,0.168627,0.085758,0.067451,0.014242,3,99.0
2,then place the,0.116471,0.130909,0.115294,0.014242,4,98.0
2,lists of sister,0.116471,0.147576,0.109804,0.014545,5,97.0
2,If a community,0.116863,0.171515,0.12549,0.014242,6,98.0
2,highest elected,0.116863,0.187273,0.124314,0.014242,7,98.0
2,Cities International,0.116863,0.203636,0.159216,0.014242,8,97.0
2,and Sister Cities,0.116863,0.220303,0.132549,0.012727,9,98.0
2,of sister city,0.117647,0.237273,0.119216,0.012424,10,99.0
2,dormant. Many,0.116471,0.252424,0.122745,0.013939,11,98.0
2,partnership may,0.116471,0.267879,0.135294,0.015758,12,99.0
2,General,0.117647,0.293636,0.106275,0.018182,13,99.0
2,In order for a,0.117255,0.32303,0.119216,0.014848,14,98.0
2,"(SCl), the two",0.118039,0.339394,0.115686,0.014242,15,98.0
2,presumes,0.116471,0.355758,0.085882,0.014848,16,99.0
2,followed proper,0.116078,0.371515,0.13451,0.015152,17,99.0
2,with the specific,0.117255,0.388485,0.136471,0.013636,18,98.0
2,and that both,0.116863,0.405152,0.108235,0.013333,19,98.0
2,should check,0.116078,0.420303,0.10902,0.015152,20,98.0
2,before pursuing,0.117255,0.437576,0.133725,0.013636,21,99.0
2,SCl often refers,0.116078,0.459697,0.147843,0.014848,22,99.0
2,"Understanding.""",0.116471,0.476364,0.137647,0.014848,23,99.0
2,your documents,0.116863,0.493939,0.134902,0.013333,24,99.0
2,A few things to,0.116471,0.516667,0.122353,0.014545,25,99.0
2,Your,0.176078,0.541515,0.044314,0.013636,26,98.0
2,commitment,0.174902,0.557273,0.101961,0.014242,27,98.0
2,with,0.175294,0.573939,0.034118,0.013333,28,99.0
2,related,0.176078,0.590303,0.063137,0.013333,29,99.0
2,Don't try,0.176078,0.619394,0.072941,0.013939,30,99.0
2,interest,0.175686,0.636061,0.068627,0.013333,31,99.0
2,include,0.174902,0.651818,0.061569,0.013939,32,99.0
2,the scope,0.175294,0.668788,0.081569,0.013333,33,98.0
2,"tasks,",0.174902,0.684848,0.051765,0.01303,34,99.0
2,administration,0.175294,0.700909,0.114902,0.013636,35,98.0
2,memorandum,0.175294,0.71697,0.112549,0.013636,36,99.0
2,agreement,0.175686,0.73303,0.092941,0.013939,37,98.0
2,with very,0.175294,0.749697,0.076863,0.013333,38,98.0
2,Work,0.175686,0.778485,0.047059,0.013636,39,99.0
2,share,0.175686,0.795152,0.05098,0.013333,40,99.0
2,what,0.175294,0.811212,0.041569,0.013939,41,99.0
2,Ask your,0.175686,0.840606,0.075294,0.013636,42,98.0
2,important,0.176078,0.85697,0.079608,0.013333,43,99.0
2,the,0.174902,0.87303,0.03098,0.014242,44,99.0
2,RN A TIO,0.243137,0.066667,0.108235,0.009091,45,87.0
2,globally. Thrive,0.236078,0.085758,0.121569,0.014242,46,99.0
2,partnership,0.231765,0.130909,0.100392,0.014242,47,98.0
2,city programs.,0.226275,0.147576,0.111765,0.014545,48,97.0
2,wishes to,0.242353,0.171515,0.078039,0.014242,49,98.0
2,official of,0.241176,0.187273,0.106667,0.014242,50,98.0
2,should,0.276078,0.203636,0.056863,0.014242,51,97.0
2,International,0.249412,0.220303,0.10902,0.012727,52,98.0
2,programs.,0.236863,0.237273,0.096471,0.012424,53,99.0
2,partnerships,0.239216,0.252424,0.111373,0.013939,54,98.0
2,be reinvigorated,0.251765,0.267879,0.136863,0.015758,55,99.0
2,Guidelines,0.223922,0.293636,0.125882,0.018182,56,99.0
2,sister,0.236471,0.32303,0.057255,0.014848,57,98.0
2,communities,0.233725,0.339394,0.103529,0.014242,58,98.0
2,several key,0.202353,0.355758,0.116863,0.014848,59,99.0
2,procedures,0.250588,0.371515,0.128627,0.015152,60,99.0
2,city);,0.253725,0.388485,0.082745,0.013636,61,98.0
2,have secured,0.225098,0.405152,0.115294,0.013333,62,98.0
2,with your local,0.225098,0.420303,0.120392,0.015152,63,98.0
2,a sister city,0.25098,0.437576,0.098039,0.013636,64,99.0
2,to these,0.263922,0.459697,0.080392,0.014848,65,99.0
2,"However,",0.254118,0.476364,0.080392,0.014848,66,99.0
2,is left up to,0.251765,0.493939,0.097255,0.013333,67,99.0
2,keep in mind,0.238824,0.516667,0.106275,0.014545,68,99.0
2,agreement can,0.220392,0.541515,0.124314,0.013636,69,98.0
2,to fostering,0.276863,0.557273,0.099608,0.014242,70,98.0
2,particular areas,0.209412,0.573939,0.134118,0.013333,71,99.0
2,to anything,0.239216,0.590303,0.093333,0.013333,72,99.0
2,to include,0.24902,0.619394,0.080784,0.013939,73,99.0
2,or participating,0.244314,0.636061,0.13098,0.013333,74,99.0
2,all the programs,0.236471,0.651818,0.139608,0.013939,75,99.0
2,of projects.,0.256863,0.668788,0.098039,0.013333,76,98.0
2,"responsibilities,",0.226667,0.684848,0.12902,0.01303,77,99.0
2,of the,0.290196,0.700909,0.052549,0.013636,78,98.0
2,between,0.287843,0.71697,0.074118,0.013636,79,99.0
2,is a,0.268627,0.73303,0.033333,0.013939,80,98.0
2,specific,0.252157,0.749697,0.068627,0.013333,81,98.0
2,with your,0.222745,0.778485,0.080392,0.013636,82,99.0
2,drafts of,0.226667,0.795152,0.106667,0.013333,83,99.0
2,they'd like to see,0.216863,0.811212,0.139608,0.013939,84,99.0
2,counterparts,0.25098,0.840606,0.108627,0.013636,85,98.0
2,for the,0.255686,0.85697,0.062745,0.013333,86,99.0
2,commitment their,0.205882,0.87303,0.146667,0.014242,87,99.0
2,N A L,0.351373,0.066667,0.057255,0.009091,88,87.0
2,locally.,0.357647,0.085758,0.051373,0.014242,89,99.0
2,into Emeritus,0.332157,0.130909,0.108627,0.014242,90,98.0
2,terminate a,0.320392,0.171515,0.096863,0.014242,91,98.0
2,the U.S. city,0.347843,0.187273,0.076078,0.014242,92,98.0
2,be informed,0.332941,0.203636,0.102745,0.014242,93,97.0
2,will then,0.358431,0.220303,0.065882,0.012727,94,98.0
2,We do not,0.333333,0.237273,0.06549,0.012424,95,99.0
2,wax and,0.350588,0.252424,0.070196,0.013939,96,98.0
2,by local,0.388627,0.267879,0.064314,0.015758,97,99.0
2,city/county/state,0.293725,0.32303,0.144314,0.014848,98,98.0
2,must sign,0.337255,0.339394,0.081569,0.014242,99,98.0
2,items: that the,0.319216,0.355758,0.109412,0.014848,100,99.0
2,(e.g. passed,0.379216,0.371515,0.073725,0.015152,101,99.0
2,that both,0.336471,0.388485,0.066275,0.013636,102,98.0
2,the necessary,0.340392,0.405152,0.120784,0.013333,103,98.0
2,sister city,0.34549,0.420303,0.084706,0.015152,104,98.0
2,relationship.,0.34902,0.437576,0.093725,0.013636,105,99.0
2,agreements as,0.344314,0.459697,0.101569,0.014848,106,99.0
2,as the following,0.33451,0.476364,0.133725,0.014848,107,99.0
2,you.,0.34902,0.493939,0.031765,0.013333,108,99.0
2,as you draft,0.345098,0.516667,0.101176,0.014545,109,99.0
2,range from,0.344706,0.541515,0.117647,0.013636,110,98.0
2,"of interest,",0.343529,0.573939,0.092157,0.013333,111,99.0
2,from numbers,0.332549,0.590303,0.132549,0.013333,112,99.0
2,everything,0.329804,0.619394,0.091373,0.013939,113,99.0
2,institutions,0.375294,0.636061,0.109804,0.013333,114,99.0
2,you plan,0.376078,0.651818,0.072941,0.013939,115,99.0
2,This is a,0.354902,0.668788,0.070588,0.013333,116,98.0
2,or other,0.355686,0.684848,0.072941,0.01303,117,99.0
2,partnership,0.342745,0.700909,0.098824,0.013636,118,98.0
2,the respective,0.361961,0.71697,0.118431,0.013636,119,99.0
2,historical,0.301961,0.73303,0.10902,0.013939,120,98.0
2,tasks.,0.320784,0.749697,0.045882,0.013333,121,98.0
2,counterparts.,0.303137,0.778485,0.136471,0.013636,122,99.0
2,your agreement,0.333333,0.795152,0.128235,0.013333,123,99.0
2,in the,0.356471,0.811212,0.049412,0.013939,124,99.0
2,to translate,0.359608,0.840606,0.094902,0.013636,125,98.0
2,citizens of,0.318431,0.85697,0.119216,0.013333,126,99.0
2,city has,0.352549,0.87303,0.07098,0.014242,127,99.0
2,Status and,0.440784,0.130909,0.08902,0.014242,128,98.0
2,sister city,0.417255,0.171515,0.082745,0.014242,129,98.0
2,should be sent,0.423922,0.187273,0.120784,0.014242,130,98.0
2,of this action,0.435686,0.203636,0.110588,0.014242,131,97.0
2,remove the,0.424314,0.220303,0.094902,0.012727,132,98.0
2,recommend,0.398824,0.237273,0.098039,0.012424,133,99.0
2,wane over the,0.420784,0.252424,0.12,0.013939,134,98.0
2,members,0.452941,0.267879,0.077255,0.015758,135,99.0
2,partnership,0.438039,0.32303,0.087451,0.014848,136,98.0
2,formal documents,0.418824,0.339394,0.153333,0.014242,137,98.0
2,U.S. community,0.428627,0.355758,0.12,0.014848,138,99.0
2,a city council,0.452941,0.371515,0.108627,0.015152,139,99.0
2,communities share,0.402745,0.388485,0.137647,0.013636,140,98.0
2,support,0.461176,0.405152,0.068235,0.013333,141,98.0
2,program to,0.430196,0.420303,0.09451,0.015152,142,98.0
2,"a ""Sister",0.445882,0.459697,0.100392,0.014848,143,99.0
2,examples,0.468235,0.476364,0.081176,0.014848,144,99.0
2,your agreement:,0.446275,0.516667,0.134902,0.014545,145,99.0
2,"the ceremonial,",0.462353,0.541515,0.107451,0.013636,146,98.0
2,"understanding,",0.376471,0.557273,0.125098,0.014242,147,98.0
2,specific,0.435686,0.573939,0.067843,0.013333,148,99.0
2,of,0.465098,0.590303,0.037255,0.013333,149,99.0
2,you plan to do.,0.421176,0.619394,0.121569,0.013939,150,99.0
2,are good,0.485098,0.636061,0.067451,0.013333,151,99.0
2,to do if it,0.44902,0.651818,0.078431,0.013939,152,99.0
2,formal document,0.42549,0.668788,0.139216,0.013333,153,98.0
2,nuts-and-bolts,0.428627,0.684848,0.125882,0.01303,154,99.0
2,can be,0.441569,0.700909,0.056471,0.013636,155,98.0
2,sister,0.480392,0.71697,0.052157,0.013636,156,99.0
2,document and should,0.41098,0.73303,0.149412,0.013939,157,98.0
2,Remember that,0.439608,0.778485,0.108235,0.013636,158,99.0
2,with your,0.461569,0.795152,0.05098,0.013333,159,99.0
2,agreement. Be,0.405882,0.811212,0.122745,0.013939,160,99.0
2,the agreement,0.45451,0.840606,0.116471,0.013636,161,98.0
2,your partner,0.437647,0.85697,0.09098,0.013333,162,99.0
2,made. Have,0.423529,0.87303,0.098039,0.014242,163,99.0
2,will reflect,0.529804,0.130909,0.089412,0.014242,164,98.0
2,"relationship, then",0.5,0.171515,0.141176,0.014242,165,98.0
2,to the mayor,0.544706,0.187273,0.106667,0.014242,166,98.0
2,in writing,0.546275,0.203636,0.076863,0.014242,167,97.0
2,partnership,0.519216,0.220303,0.096863,0.012727,168,98.0
2,terminating a,0.496863,0.237273,0.109804,0.012424,169,99.0
2,"years, and",0.540784,0.252424,0.09098,0.013939,170,98.0
2,years after,0.530196,0.267879,0.100392,0.015758,171,99.0
2,to be recognized,0.52549,0.32303,0.12902,0.014848,172,98.0
2,which,0.572157,0.339394,0.050196,0.014242,173,98.0
2,is already,0.548627,0.355758,0.085882,0.014848,174,99.0
2,resolution,0.561569,0.371515,0.08549,0.015152,175,99.0
2,a mutual,0.540392,0.388485,0.067451,0.013636,176,98.0
2,structure to,0.529412,0.405152,0.109804,0.013333,177,98.0
2,see if they,0.524706,0.420303,0.09098,0.015152,178,98.0
2,"City Agreement""",0.546275,0.459697,0.110196,0.014848,179,99.0
2,"show, the",0.549412,0.476364,0.081569,0.014848,180,99.0
2,with,0.569804,0.541515,0.035686,0.013636,181,98.0
2,"cooperation, and",0.501569,0.557273,0.14,0.014242,182,98.0
2,"programs/activities,",0.503529,0.573939,0.162745,0.013333,183,99.0
